Summary|概览
Platform|平台
Id|ID
Name|名称
Introduction|介绍
Current Version|当前版本
Version|版本
Transaction Type|交易类型
Id|ID
Name|名称
Platform|平台
Version|版本
Merchant Type|商人类型
Id|ID
Name|名称
Platform|平台
Version|版本
Transport Task Status|运输任务状态
Id|ID
Name|名称
Platform|平台
Version|版本
Location|位置
Id|ID
Name|名称
Contact Person|联系人
Contact Phone|联系电话
Description|描述
Platform|平台
Create Time|创建时间
Update Time|更新时间
Version|版本
Merchant|商人
Id|ID
Name|名称
Type|类型
Platform|平台
Description|描述
Create Time|创建时间
Update Time|更新时间
Version|版本
Transport Project|交通项目
Id|ID
Name|名称
Merchant|商人
Platform|平台
Create Time|创建时间
Update Time|更新时间
Version|版本
Transport Item|运输项目
Id|ID
Name|名称
Quantity|数量
Unit|单位
Project|项目
Merchant|商人
Platform|平台
Create Time|创建时间
Update Time|更新时间
Version|版本
Transport Task|运输任务
Id|ID
Name|名称
Source|源
Destination|目的地
Remark|备注
Status|状态
Sender|发送方
Receiver|接收机
Platform|平台
Create Time|创建时间
Update Time|更新时间
Version|版本
Transport Task Track|运输任务跟踪
Id|ID
Name|名称
Latitude|纬度
Longitude|经度
Task|任务
Create Time|创建时间
Update Time|更新时间
Version|版本
Merchant Account|商家帐户
Id|ID
Name|名称
Merchant|商人
Create Time|创建时间
Update Time|更新时间
Version|版本
Transaction|事务
Id|ID
Name|名称
Amount|金额
Transaction Type|交易类型
Account|账户
Version|版本
User Domain|用户域
Id|ID
Name|名称
Version|版本
User White List|用户白名单
Id|ID
User Identity|用户身份
User Special Functions|用户特殊功能
Domain|域
Version|版本
Sec User|安全用户
Id|ID
Login|登录
Mobile|手机号码
Email|电子邮件
Pwd|密码
Verification Code|验证码
Verification Code Expire|验证码过期
Last Login Time|最后登录时间
Domain|域
Blocking|屏蔽
Block|屏蔽
Current Status|当前状态
Version|版本
Sec User Blocking|用户屏蔽
Id|ID
Who|谁
Block Time|块时间
Comments|评论
Version|版本
User App|用户应用程序
Id|ID
Title|标题
Sec User|安全用户
App Icon|应用程序图标
Full Access|完全访问
Permission|许可
Object Type|访问对象类型
Object Id|对象ID
Location|位置
Version|版本
List Access|访问列表
Id|ID
Name|名称
Internal Name|内部名称
Read Permission|读权限
Create Permission|创建权限
Delete Permission|删除权限
Update Permission|更新许可
Execution Permission|执行权限
App|应用程序
Version|版本
Object Access|对象访问
Id|ID
Name|名称
Object Type|访问对象类型
List1|列表1
List2|列表2
List3|列表3
List4|列表4
List5|列表5
List6|列表6
List7|列表7
List8|列表8
List9|列表9
App|应用程序
Version|版本
Login History|登录历史
Id|ID
Login Time|登录时间
From Ip|来自IP
Description|描述
Sec User|安全用户
Version|版本
Generic Form|通用的形式
Id|ID
Title|标题
Description|描述
Version|版本
Form Message|表单信息
Id|ID
Title|标题
Form|形式
Level|水平
Version|版本
Form Field Message|表单字段的信息
Id|ID
Title|标题
Parameter Name|参数名称
Form|形式
Level|水平
Version|版本
Form Field|表单字段
Id|ID
Label|标签
Locale Key|语言环境的关键
Parameter Name|参数名称
Type|类型
Form|形式
Placeholder|占位符
Default Value|默认值
Description|描述
Field Group|字段组
Minimum Value|最小值
Maximum Value|最大值
Required|要求
Disabled|禁用
Custom Rendering|自定义渲染
Candidate Values|候选人的价值观
Suggest Values|建议值
Version|版本
Form Action|表单动作
Id|ID
Label|标签
Locale Key|语言环境的关键
Action Key|行动的关键
Level|水平
Url|url
Form|形式
Version|版本
Transfer to Another Platform|转到另一个平台
Transfer to Another Transaction Type|转移到另一种事务类型
Transfer to Another Merchant Type|转移到另一种商人类型
Transfer to Another Transport Task Status|转移到另一个传输任务状态
Transfer to Another Location|转往其他地点
Transfer to Another Merchant|转让给其他商户
Transfer to Another Transport Project|转到另一个运输项目
Transfer to Another Transport Item|转移到另一个传输项
Transfer to Another Transport Task|转移到另一个传输任务
Transfer to Another Transport Task Track|转移到另一个传输任务轨道
Transfer to Another Merchant Account|转移到另一个商户帐户
Transfer to Another Transaction|转移到另一个事务
Transfer to Another User Domain|转移到另一个用户域
Transfer to Another User White List|转移到另一个用户白名单
Transfer to Another Sec User|转移到另一个SEC用户
Transfer to Another Sec User Blocking|转移到另一个SEC用户阻塞
Transfer to Another User App|转移到另一个用户应用程序
Transfer to Another List Access|转移到另一个列表访问
Transfer to Another Object Access|转移到另一个对象访问
Transfer to Another Login History|转移到另一个登录历史
Transfer to Another Generic Form|转移到另一个通用表单
Transfer to Another Form Message|转到另一个表单消息
Transfer to Another Form Field Message|转到另一个表单字段消息
Transfer to Another Form Field|转到另一个表单字段
Transfer to Another Form Action|转移到另一个表单动作

